No,就職前,就職後
231,食べている,食べている
232,食べている,食べている
233,食べている,食べている
234,食べている,食べている
235,食べている,食べている
236,食べている,食べていない
237,食べている,食べていない
238,食べている,食べていない
239,食べている,食べていない
240,食べている,食べていない
241,食べている,食べていない
242,食べている,食べていない
243,食べている,食べていない
244,食べている,食べていない
245,食べている,食べていない
246,食べている,食べていない
247,食べている,食べていない
248,食べている,食べていない
249,食べている,食べていない
250,食べている,食べていない
251,食べている,食べていない
252,食べている,食べていない
253,食べている,食べていない
254,食べている,食べていない
255,食べている,食べていない
256,食べている,食べていない
257,食べている,食べていない
258,食べている,食べていない
259,食べている,食べていない
260,食べている,食べていない
261,食べていない,食べている
262,食べていない,食べている
263,食べていない,食べている
264,食べていない,食べている
265,食べていない,食べている
266,食べていない,食べている
267,食べていない,食べている
268,食べていない,食べている
269,食べていない,食べている
270,食べていない,食べている
271,食べていない,食べている
272,食べていない,食べている
273,食べていない,食べている
274,食べていない,食べている
275,食べていない,食べている
276,食べていない,食べていない
277,食べていない,食べていない
278,食べていない,食べていない
279,食べていない,食べていない
280,食べていない,食べていない
281,食べていない,食べていない
282,食べていない,食べていない
283,食べていない,食べていない
284,食べていない,食べていない
285,食べていない,食べていない
286,食べていない,食べていない
287,食べていない,食べていない
288,食べていない,食べていない
289,食べていない,食べていない
290,食べていない,食べていない
291,食べていない,食べていない
292,食べていない,食べていない
293,食べていない,食べていない
294,食べていない,食べていない
295,食べていない,食べていない
296,食べていない,食べていない
297,食べていない,食べていない
298,食べていない,食べていない
299,食べていない,食べていない
300,食べていない,食べていない
301,食べている,食べている
302,食べている,食べている
303,食べている,食べている
304,食べている,食べている
305,食べている,食べている
306,食べている,食べている
307,食べている,食べている
308,食べている,食べている
309,食べている,食べている
310,食べている,食べている
311,食べている,食べている
312,食べている,食べている
313,食べている,食べている
314,食べている,食べている
315,食べている,食べている
316,食べている,食べている
317,食べている,食べている
318,食べている,食べている
319,食べている,食べている
320,食べている,食べている
321,食べている,食べている
322,食べている,食べている
323,食べている,食べている
324,食べている,食べている
325,食べている,食べている
326,食べている,食べている
327,食べている,食べている
328,食べている,食べている
329,食べている,食べている
330,食べている,食べている
331,食べている,食べている
332,食べている,食べている
333,食べている,食べている
334,食べている,食べている
335,食べている,食べている
336,食べている,食べていない
337,食べている,食べていない
338,食べている,食べていない
339,食べている,食べていない
340,食べている,食べていない
341,食べている,食べていない
342,食べている,食べていない
343,食べている,食べていない
344,食べている,食べていない
345,食べている,食べていない
346,食べている,食べていない
347,食べている,食べていない
348,食べている,食べていない
349,食べている,食べていない
350,食べている,食べていない
351,食べている,食べていない
352,食べている,食べていない
353,食べている,食べていない
354,食べている,食べていない
355,食べている,食べていない
356,食べている,食べていない
357,食べている,食べていない
358,食べている,食べていない
359,食べている,食べていない
360,食べている,食べていない
361,食べていない,食べている
362,食べていない,食べている
363,食べていない,食べている
364,食べていない,食べている
365,食べていない,食べている
366,食べていない,食べている
367,食べていない,食べている
368,食べていない,食べている
369,食べていない,食べている
370,食べていない,食べている
371,食べていない,食べている
372,食べていない,食べている
373,食べていない,食べている
374,食べていない,食べている
375,食べていない,食べている
376,食べていない,食べていない
377,食べていない,食べていない
378,食べていない,食べていない
379,食べていない,食べていない
380,食べていない,食べていない
381,食べていない,食べていない
382,食べていない,食べていない
383,食べていない,食べていない
384,食べていない,食べていない
385,食べていない,食べていない
386,食べていない,食べていない
387,食べていない,食べていない
388,食べていない,食べていない
389,食べていない,食べていない
390,食べていない,食べていない
391,食べていない,食べていない
392,食べていない,食べていない
393,食べていない,食べていない
394,食べていない,食べていない
395,食べていない,食べていない
396,食べていない,食べていない
397,食べていない,食べていない
398,食べていない,食べていない
399,食べていない,食べていない
400,食べていない,食べていない
401,食べている,食べている
402,食べている,食べている
403,食べている,食べている
404,食べている,食べている
405,食べている,食べている
406,食べている,食べている
407,食べている,食べている
408,食べている,食べている
409,食べている,食べている
410,食べている,食べている
411,食べている,食べている
412,食べている,食べている
413,食べている,食べている
414,食べている,食べている
415,食べている,食べている
416,食べている,食べている
417,食べている,食べている
418,食べている,食べている
419,食べている,食べている
420,食べている,食べている
421,食べている,食べている
422,食べている,食べている
423,食べている,食べている
424,食べている,食べている
425,食べている,食べている
426,食べている,食べている
427,食べている,食べている
428,食べている,食べている
429,食べている,食べている
430,食べている,食べている
431,食べている,食べている
432,食べている,食べている
433,食べている,食べている
434,食べている,食べている
435,食べている,食べている
436,食べている,食べていない
437,食べている,食べていない
438,食べている,食べていない
439,食べている,食べていない
440,食べている,食べていない
441,食べている,食べていない
442,食べている,食べていない
443,食べている,食べていない
444,食べている,食べていない
445,食べている,食べていない
446,食べている,食べていない
447,食べている,食べていない
448,食べている,食べていない
449,食べている,食べていない
450,食べている,食べていない
451,食べている,食べていない
452,食べている,食べていない
453,食べている,食べていない
454,食べている,食べていない
455,食べている,食べていない
456,食べている,食べていない
457,食べている,食べていない
458,食べている,食べていない
459,食べている,食べていない
460,食べている,食べていない
461,食べていない,食べている
462,食べていない,食べている
463,食べていない,食べている
464,食べていない,食べている
465,食べていない,食べている
466,食べていない,食べている
467,食べていない,食べている
468,食べていない,食べている
469,食べていない,食べている
470,食べていない,食べている
471,食べていない,食べている
472,食べていない,食べている
473,食べていない,食べている
474,食べていない,食べている
475,食べていない,食べている
476,食べていない,食べていない
477,食べていない,食べていない
478,食べていない,食べていない
479,食べていない,食べていない
480,食べていない,食べていない
481,食べていない,食べていない
482,食べていない,食べていない
483,食べていない,食べていない
484,食べていない,食べていない
485,食べていない,食べていない
486,食べていない,食べていない
487,食べていない,食べていない
488,食べていない,食べていない
489,食べていない,食べていない
490,食べていない,食べていない
491,食べていない,食べていない
492,食べていない,食べていない
493,食べていない,食べていない
494,食べていない,食べていない
495,食べていない,食べていない
496,食べていない,食べていない
497,食べていない,食べていない
498,食べていない,食べていない
499,食べていない,食べていない
500,食べていない,食べていない
